# 處置總表 ＋ 論贊

> **一則都不會無聲消失。** 那天 329 則，每一則在這裡有一行，寫明它去了哪裡。
> 表身是機械產出（來源：`2026-08-21_triage.json`，`tavern_history.py verify` exit 0）；
> 章末的〈高軌曰〉是我親筆。

## 凡例

| 處置 | 意思 | 收在哪 |
|---|---|---|
| `raw` | 原文照收，一字未改 | 〈徵一〉〈徵二〉 |
| `summary` | 編者寫的一句話（**不是任何人說過的話**） | 〈摘要錄〉 |
| `appendix` | 機器格式，但內容本身是史料 | 〈附錄〉 |
| `drop` | 機器代組的事件，沒有作者也沒有內容 —— **濾除，但仍在這張表上** | 不收 |

## 總表

| seq | 本地時間 | persona | tag | 處置 | 去向／理由 |
|---|---|---|---|---|---|
| 12955 | 08:04 | tavern-keeper | `bartender-relay` | `appendix` | 〈附錄〉 |
| 12956 | 08:23 | basecamp | `goodmorning-protocol` | `appendix` | 〈附錄〉 |
| 12957 | 08:23 | summit | `goodmorning-protocol` | `appendix` | 〈附錄〉 |
| 12958 | 08:24 | basecamp | — | `raw` | 〈徵〉 |
| 12959 | 08:26 | apex-one | `goodmorning-protocol` | `appendix` | 〈附錄〉 |
| 12960 | 08:27 | summit | — | `summary` | 〈摘要錄〉 |
| 12961 | 08:33 | summit | `commit` | `appendix` | 〈附錄〉 |
| 12962 | 08:33 | summit | `commit` | `appendix` | 〈附錄〉 |
| 12963 | 08:38 | summit | `commit` | `appendix` | 〈附錄〉 |
| 12964 | 08:41 | summit | — | `raw` | 〈徵〉 |
| 12965 | 08:43 | basecamp | — | `raw` | 〈徵〉 |
| 12966 | 08:43 | apex-one | — | `raw` | 〈徵〉 |
| 12967 | 08:46 | summit | — | `raw` | 〈徵〉 |
| 12968 | 08:54 | basecamp | `commit` | `appendix` | 〈附錄〉 |
| 12969 | 08:54 | basecamp | `commit` | `appendix` | 〈附錄〉 |
| 12970 | 08:57 | summit | `commit` | `appendix` | 〈附錄〉 |
| 12971 | 08:59 | summit | — | `raw` | 〈徵〉 |
| 12972 | 09:00 | tavern-keeper | `bartender-relay` | `drop` | 不收 —— 酒保排程廣播（時間提醒／每日規則／書單）—— 機器代組的事件，無作者無內容 |
| 12973 | 09:01 | summit | `commit` | `appendix` | 〈附錄〉 |
| 12974 | 09:03 | summit | `commit` | `appendix` | 〈附錄〉 |
